ciudad;depto;tamano;sector;seccion_sector;pa;numero_empleados;pb1;pb2;pb3;pb4;pb5;pb6;pb7;seleccion_por___contratados;pd1;pd2;p1;p1a;p2;p2a;p3;p3a;p4;p4a;p5;p5a;p6;p6a;p7;p7a;p8;p8a;p9;p9a;p10;p10a;p11;p11a;p12;p12a;p13;p13a;p14;p14a;p15;p15a;p16;p16a;p17;p17a;p18;p18a;p19;p19a;p20;p20a;p21a;p21b;p21c;p21d;p21e;factor
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIO DE FERRETERIA;Entre 51 y 200 Empleados;7;5;6;;;;;Universitarios;10;5;4;3;4;3;4;3;4;2;4;3;4;3;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;2;5;1;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;VENTA DE MAQUINARIA INDUSTRIAL;Entre 51 y 200 Empleados;4;;;;;;;Tecnicos o Tecnologos;3;5;3;3;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;3;3;3;4;3;4;4;2;1;3;4;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;TELECOMUNICACIONES;Entre 51 y 200 Empleados;5;6;;;;;;Universitarios;20;8;3;3;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;3;3;2;1;3;5;4;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIALIZADORA EMPAQUES ESPE;Entre 11 y 50 Empleados;2;;;;;;;Universitarios;20;4;4;3;4;4;4;4;3;3;3;3;2;2;3;3;4;4;4;2;4;4;4;4;3;3;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;3;1;5;2;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMERCIO;Entre 51 y 200 Empleados;7;;;;;;;Universitarios;10;2;2;3;4;3;4;3;1;2;4;4;2;3;4;3;4;3;4;4;4;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;4;4;1;1;4;3;4;5;3;2;1;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;DISTRIBUCION;Entre 51 y 200 Empleados;6;;;;;;;Tecnicos o Tecnologos;3;5;3;3;3;3;3;3;1;1;3;3;2;2;2;2;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;4;1;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;EDITORIAL;Entre 11 y 50 Empleados;4;;;;;;;Universitarios;10;5;3;3;3;3;4;4;2;2;3;3;1;1;3;3;4;4;3;3;3;3;3;3;4;4;3;3;1;1;3;3;3;3;4;4;3;3;4;4;3;3;3;4;2;1;5;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;COMPRA Y VENTA VEHICULOS USADOS;Entre 51 y 200 Empleados;5;6;2;;;;;Universitarios;4;0;2;3;1;3;2;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;2;4;5;1;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;A;SERVICIOS INTERMEDIACION;Entre 11 y 50 Empleados;5;6;;;;;;Universitarios;3;0;1;3;4;3;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;3;5;4;11,35
BOGOTA;CUNDINAMARCA;GRANDE;COMERCIO;G;DISTRIBUIDORA DE ALUMINIOS;Entre 51 y 200 Empleados;6;5;;;;;;Tecnicos o Tecnologos;0;1;2;2;3;3;3;3;4;1;4;3;4;2;4;4;4;4;4;3;4;4;4;3;4;3;4;3;3;3;4;2;4;3;4;3;4;3;4;2;4;2;3;2;4;5;1;11,35
